Linux map destination coverage, played: PASS (125 of 125 designs)
CORRECTION 2026-09-22: this headline says PASS while two of the 125 designs
produced no payoff. Reaching a design is not passing it, and "PASS (125 of
125 designs)" reads as "all 125 destinations pass" - the precise claim this
check exists to prevent, printed by the check itself. The verdict is
INCOMPLETE: payoff 123 of 125, non-floor 123, access 122. The check now
computes that itself and carries every column in the headline.
source: 6cf227b
renderer: Intel Mesa Intel(R) Iris(R) Xe Graphics (RPL-U) on display :0

designs in the catalogue: 125
designs reached in this run: 125 (from 1 to 125)

  geometry: a building or an area          125 of 125
  payoff inserted, exactly one token       123 of 125
  container identified and NOT a floor     123 of 125
  target resolves AND a standable square   122 of 125

design	buildings	areas	source	verdict	state	items	container	sprite	nonFloor	resolves	square	standable
RiversideStashMap6	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_15	true	true	true	true
RiversideStashMap7	2	0	source stash anchor	ok	placed	1	wardrobe	furniture_storage_01_1	true	true	true	true
RiversideStashMap8	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_12	true	true	true	true
RiversideStashMap9	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_10	true	true	true	true
RiversideStashMap10	1	0	source stash anchor	ok	placed	1	dresser	furniture_storage_01_34	true	true	true	true
RosewoodStashMap1	2	0	source stash anchor	ok	placed	1	sidetable	furniture_storage_01_54	true	true	true	true
RosewoodStashMap2	2	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_40	true	true	true	true
RosewoodStashMap3	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_28	true	true	true	true
RosewoodStashMap4	1	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_5	true	true	true	true
RosewoodStashMap5	1	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_36	true	true	true	true
WorldStashMap1	1	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_10	true	true	true	true
WorldStashMap2	1	0	source stash anchor	ok	placed	1	plankstash	floors_interior_tilesandwood_01_58	true	true	true	true
WorldStashMap3	4	2	Gas Asterisk 5466,9710 and Wrench 5471,9663, each with sixteen-tile margin; Wrench overlaps Lenny's print footprint	ok	placed	1	shelves	location_shop_generic_01_8	true	true	true	true
WorldStashMap4	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_25	true	true	true	true
WorldStashMap5	1	0	source stash anchor	ok	placed	1	desk	carpentry_02_8	true	true	true	true
WorldStashMap6	2	1	The two loot-site text positions and named Cross, with sixteen-tile margin; separate fishing mark excluded	ok	placed	1	dresser	furniture_storage_01_13	true	true	true	true
WorldStashMap7	1	0	source stash anchor	ok	placed	1	FoodBox	furniture_storage_02_19	true	true	true	true
WorldStashMap8	1	0	source stash anchor	ok	placed	1	stove	appliances_cooking_01_1	true	true	true	true
WorldStashMap9	21	1	Railyard arrow, offices, warehouses, crates and trains text positions; sixteen-tile margin around the described yard	INCONCLUSIVE	none	-1	none	none	false	false	false	false
WorldStashMap10	5	4	All four labelled Circle marks, each with sixteen-tile margin; source does not designate one building	ok	placed	1	fridge	location_shop_generic_01_67	true	true	true	true
WorldStashMap11	5	1	Tower 2 / Dish 3 service annotations and Sun/X at 10267..10268,8743; sixteen-tile margin	ok	placed	1	smallbox	trashcontainers_01_24	true	true	true	true
WorldStashMap12	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_17	true	true	true	true
WorldStashMap13	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_shelving_01_28	true	true	true	true
WorldStashMap14	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_43	true	true	true	true
WorldStashMap15	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_25	true	true	true	true
WorldStashMap16	5	1	Camp, checkpoint, barrier labels and two Trap marks along the annotated approach; sixteen-tile margin	ok	placed	1	militarylocker	location_military_generic_01_30	true	true	true	true
WorldStashMap17	2	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_43	true	true	true	true
WorldStashMap18	33	1	Extent of all 38 conflict symbols (13502..13746,4019..4157), plus sixteen tiles; no textual safety claim	ok	placed	1	clothingdryer	appliances_laundry_01_13	true	true	true	true
WorldStashMap19	1	0	source stash anchor	ok	placed	1	clothingwasher	appliances_laundry_01_1	true	true	true	true
WorldStashMap20	1	0	source stash anchor	INCONCLUSIVE	none	-1	none	none	false	false	false	false
WorldStashMap21	4	2	Fuel 3566,10909; Apple 3576,10895; Hammer 3683,10898; sixteen-tile margins	ok	placed	1	shelvesmag	location_shop_generic_01_27	true	true	true	true
WorldStashMap22	1	0	source stash anchor	ok	placed	1	cardboardbox	furniture_storage_02_16	true	true	true	true
WorldStashMap23	2	1	Thunder Gas fuel/hammer symbols and basement text position, plus sixteen tiles; includes actual loaded basement levels	ok	placed	1	bin	trashcontainers_01_19	true	true	true	true
WpStashMap1	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_40	true	true	true	true
WpStashMap2	1	0	source stash anchor	ok	placed	1	wardrobe	furniture_storage_01_16	true	true	true	true
WpStashMap3	1	0	source stash anchor	ok	placed	1	microwave	appliances_cooking_01_25	true	true	true	true
WpStashMap4	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_45	true	true	true	true
WpStashMap11	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_41	true	true	true	true
WpStashMap5	1	0	source stash anchor	ok	placed	1	shelves	furniture_shelving_01_41	true	true	true	true
WpStashMap6	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_18	true	true	true	true
WpStashMap7	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_12	true	true	true	true
WpStashMap8	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_storage_02_0	true	true	true	true
WpStashMap9	1	0	source stash anchor	ok	placed	1	clothingwasher	appliances_laundry_01_0	true	true	true	true
WpStashMap10	1	0	source stash anchor	ok	placed	1	bin	trashcontainers_01_19	true	true	true	true
WpStashMap12	2	0	source stash anchor	ok	placed	1	desk	location_business_office_generic_01_85	true	true	true	true
WpStashMap13	1	0	source stash anchor	ok	placed	1	metal_shelves	furniture_storage_02_2	true	true	true	true
WpStashMap14	1	0	source stash anchor	ok	placed	1	FoodBox	carpentry_01_16	true	true	true	true
WpStashMap15	1	0	source stash anchor	ok	placed	1	fridge	appliances_refrigeration_01_22	true	true	true	true
WpStashMap16	1	0	source stash anchor	ok	placed	1	counter	fixtures_counters_01_75	true	true	true	true

NOT EXERCISED: WorldStashMap9: payoff INCONCLUSIVE (state none, items -1) - target=11508,9745 containers=0 eligible=0 explored=0 kinds=none trailActive=true payoffState=none verdict=IMPOSSIBLE-HERE: no eligible non-floor container within 12 tiles
NOT EXERCISED: WorldStashMap20: payoff INCONCLUSIVE (state none, items -1) - target=14549,4974 containers=6 eligible=6 explored=6 kinds=crate=1,metal_shelves=5 trailActive=true payoffState=none verdict=POSSIBLE: eligible containers exist, so no payoff means the trail or scan did not get there
errors inside the mod: 0
